,block_id,thread_id,coordinate,value
4032,"(00,00)","(00,00)","(00,00)",0
3776,"(00,00)","(00,01)","(00,01)",64
4000,"(00,00)","(00,02)","(00,02)",128
2016,"(00,00)","(00,03)","(00,03)",192
3456,"(00,00)","(00,04)","(00,04)",256
3712,"(00,00)","(00,05)","(00,05)",320
3968,"(00,00)","(00,06)","(00,06)",384
1984,"(00,00)","(00,07)","(00,07)",448
2688,"(00,00)","(00,08)","(00,08)",512
3680,"(00,00)","(00,09)","(00,09)",576
3232,"(00,00)","(00,10)","(00,10)",640
1952,"(00,00)","(00,11)","(00,11)",704
2432,"(00,00)","(00,12)","(00,12)",768
2976,"(00,00)","(00,13)","(00,13)",832
2400,"(00,00)","(00,14)","(00,14)",896
1056,"(00,00)","(00,15)","(00,15)",960
2240,"(00,00)","(00,16)","(00,16)",1024
2912,"(00,00)","(00,17)","(00,17)",1088
2144,"(00,00)","(00,18)","(00,18)",1152
1088,"(00,00)","(00,19)","(00,19)",1216
1024,"(00,00)","(00,20)","(00,20)",1280
1760,"(00,00)","(00,21)","(00,21)",1344
1440,"(00,00)","(00,22)","(00,22)",1408
832,"(00,00)","(00,23)","(00,23)",1472
1120,"(00,00)","(00,24)","(00,24)",1536
1664,"(00,00)","(00,25)","(00,25)",1600
320,"(00,00)","(00,26)","(00,26)",1664
224,"(00,00)","(00,27)","(00,27)",1728
32,"(00,00)","(00,28)","(00,28)",1792
448,"(00,00)","(00,29)","(00,29)",1856
1312,"(00,00)","(00,30)","(00,30)",1920
160,"(00,00)","(00,31)","(00,31)",1984
4033,"(00,00)","(01,00)","(01,00)",1
3777,"(00,00)","(01,01)","(01,01)",65
4001,"(00,00)","(01,02)","(01,02)",129
2017,"(00,00)","(01,03)","(01,03)",193
3457,"(00,00)","(01,04)","(01,04)",257
3713,"(00,00)","(01,05)","(01,05)",321
3969,"(00,00)","(01,06)","(01,06)",385
1985,"(00,00)","(01,07)","(01,07)",449
2689,"(00,00)","(01,08)","(01,08)",513
3681,"(00,00)","(01,09)","(01,09)",577
3233,"(00,00)","(01,10)","(01,10)",641
1953,"(00,00)","(01,11)","(01,11)",705
2433,"(00,00)","(01,12)","(01,12)",769
2977,"(00,00)","(01,13)","(01,13)",833
2401,"(00,00)","(01,14)","(01,14)",897
1057,"(00,00)","(01,15)","(01,15)",961
2241,"(00,00)","(01,16)","(01,16)",1025
2913,"(00,00)","(01,17)","(01,17)",1089
