DataSize(Bytes),Pageable_H2D(MB/s),Pageable_D2H(MB/s),Pinned_H2D(MB/s),Pinned_D2H(MB/s),Mapped_H2D(MB/s),Mapped_D2H(MB/s)
512,282.57,13.3673,43.8786,51.6809,10.2117,118.056
1024,663.426,25.5698,88.6495,92.3376,71.8483,238.419
1536,953.674,41.7382,143.051,143.951,101.052,304.668
2048,1341.43,55.2354,195.469,200.279,134.735,393.775
2560,1589.46,71.1697,232.426,251.38,159.444,505.258
3072,1679.87,83.0599,290.183,292.735,203.564,572.205
3584,2225.24,100.647,341.797,330.686,262.759,677.094
4096,803.094,113.872,363.575,375.312,290.99,762.939
4608,867.798,123.47,387.388,444.071,325.424,858.307
5120,982.853,139.032,475.722,499.878,354.443,944.817
5632,1065.69,152.104,515.658,543.633,404.694,1029.73
6144,1151.61,167.641,535.005,586.877,439.365,1144.41
6656,1263.47,172.754,598.836,573.722,465.644,1182.5
7168,1335.14,195.895,666.011,670.716,465.156,1335.14
7680,1430.51,212.419,638.443,730.668,503.037,1362.39
8192,1045.57,221.292,739.82,734.81,528.443,1453.22
8704,1075.23,235.657,777.809,811.892,603.957,1550.97
9216,711.089,245.944,803.094,876.802,602.982,1637.31
9728,1237.64,254.872,810.39,907.408,640.701,1661.42
10240,813.26,294.074,930.414,977.344,675.541,1816.52
10752,833.38,307.003,988.996,1024.57,714.857,1910.19
11264,1483.73,315.947,1014.95,1052.33,782.958,1998.17
11776,1512.72,329.146,1077.37,1097.58,778.596,2073.57
12288,1573.41,348.855,1108.89,1151.61,797.845,2179.83
12800,1597.78,356.597,1121.97,1215.84,835.183,2137.09
13312,1710.04,369.91,1077.33,1174.62,923.161,2254.14
13824,1775.81,385.485,1121.05,1301.7,906.463,2419.9
14336,1089.22,405.069,1147.74,1349.91,917.822,2328.32
14848,1795.15,390.905,1236.05,1331.84,932.571,2434.69
15360,1870.33,403.316,1199.9,1392.44,922.446,2393.54
15872,1985.4,436.166,1267.31,1423.69,1072.01,2502.76
16384,660.286,434.317,1310.82,1427.72,1038.9,2653.7
16896,676.801,462.494,1339.2,1514.41,1078.82,2736.63
17408,704.89,479.925,1399.32,1574.5,1103.24,2796.76
17920,758.605,463.19,1417.54,1596.58,1083.28,2781.55
18432,862.688,496.557,1464.84,1667.12,1149.8,2883.55
18944,756.296,491.469,1518.7,1689.08,1169.5,2940.5
19456,831.9,529.046,1539.04,1718.03,1324.58,2906.44
19968,790.821,552.034,1567.06,1763.24,1252.17,3001.73
20480,823.131,564.618,1610.43,1753.88,1278.22,3051.76
20992,846.277,564.63,1633.45,1816,1312.93,3159.65
21504,855.348,595.465,1688.72,1854.9,1335.84,3337.86
22016,873.963,548.258,1782.96,1793.92,1356.34,3386.47
22528,892.801,621.367,1744.99,1895.23,1375.79,3356.93
23040,903.481,618.878,1785.81,1954.86,1501.69,3411.9
23552,933.383,643.064,1804.38,2033.03,1450.22,3386.75
24064,955.262,646.093,1807.59,2059.33,1468.09,3447.9
24576,963.079,671.485,2038.75,2048.73,1517.97,3521.26
25088,1176.99,666.828,1933.24,2148.51,1548.79,3705.98
25600,1194.43,703.17,1958.77,2192.35,1554.64,3672.39
26112,1209.79,696.842,1976.38,2255.65,1565.79,3644.96
26624,1233.51,732.816,2026.71,2108.86,1609.45,3810.12
27136,1289.3,739.735,2018.01,2333.96,1597.46,3883.39
27648,1265.22,680.268,2059.94,2316.16,1637.31,3779.7
28160,1321.11,753.013,2108.63,2365.7,1676.79,3982.13
28672,1318.66,766.361,2104.66,2358.85,1737.66,3997.62
29184,1297.65,718.802,2098.31,2363.45,1698.73,3926.64
29696,1375.84,782.329,2219.46,2460.07,1722.65,4125.92
30208,1344.19,805.97,2229.77,2315.8,1768.7,4046.15
